ENTITYID,CREATEDAT,RETURN_VALUE,ROLLING_PERIOD,TENURE_UNIT
SECTORAL_THEMATIC_FINANCIAL_SERVICES,2026-03-01 10:00:43.269 +0530,15.676020654,60,MONTH
SECTORAL_THEMATIC_EXPORT_AND_SERVICES,2026-03-01 10:00:43.269 +0530,21.570856274,12,MONTH
SECTORAL_THEMATIC_EXPORT_AND_SERVICES,2026-03-01 10:00:43.269 +0530,23.957695831,60,MONTH
SECTORAL_THEMATIC_EXPORT_AND_SERVICES,2026-03-01 10:00:43.269 +0530,23.39233774,36,MONTH
SECTORAL_THEMATIC_ESG,2026-03-01 10:00:43.269 +0530,16.444609418,60,MONTH
SECTORAL_THEMATIC_ESG,2026-03-01 10:00:43.269 +0530,18.164980106,12,MONTH
SECTORAL_THEMATIC_ESG,2026-03-01 10:00:43.269 +0530,17.395581263,36,MONTH
SECTORAL_THEMATIC_ENERGY,2026-03-01 10:00:43.269 +0530,1.222805079,12,MONTH
SECTORAL_THEMATIC_DEFENCE,2026-03-01 10:00:43.269 +0530,47.804666838,12,MONTH
SECTORAL_THEMATIC_CONSUMPTION,2026-03-01 10:00:43.269 +0530,19.289018446,60,MONTH
SECTORAL_THEMATIC_CONSUMPTION,2026-03-01 10:00:43.269 +0530,21.659026558,36,MONTH
SECTORAL_THEMATIC_CONSUMPTION,2026-03-01 10:00:43.269 +0530,21.371346996,12,MONTH
SECTORAL_THEMATIC_COMMODITY,2026-03-01 10:00:43.269 +0530,21.160464803,12,MONTH
SECTORAL_THEMATIC_COMMODITY,2026-03-01 10:00:43.269 +0530,23.906482484,36,MONTH
SECTORAL_THEMATIC_COMMODITY,2026-03-01 10:00:43.269 +0530,23.200129689,60,MONTH
RETIREMENT,2026-03-01 10:00:43.269 +0530,15.822442375,12,MONTH
RETIREMENT,2026-03-01 10:00:43.269 +0530,13.224962543,60,MONTH
RETIREMENT,2026-03-01 10:00:43.269 +0530,14.079686763,36,MONTH
OVERNIGHT,2026-03-01 10:00:43.269 +0530,4.92045757,60,MONTH
OVERNIGHT,2026-03-01 10:00:43.269 +0530,6.387946626,12,MONTH
OVERNIGHT,2026-03-01 10:00:43.269 +0530,5.482631188,36,MONTH
OTHER_BOND,2026-03-01 10:00:43.269 +0530,4.185506018,60,MONTH
OTHER_BOND,2026-03-01 10:00:43.269 +0530,2.043131265,36,MONTH
OTHER_BOND,2026-03-01 10:00:43.269 +0530,6.007546003,12,MONTH
MULTI_CAP,2026-03-01 10:00:43.269 +0530,24.611293205,36,MONTH
MULTI_CAP,2026-03-01 10:00:43.269 +0530,24.567293313,12,MONTH
MULTI_CAP,2026-03-01 10:00:43.269 +0530,22.049500023,60,MONTH
MULTI_ASSET_ALLOCATION,2026-03-01 10:00:43.269 +0530,18.111700326,36,MONTH
MULTI_ASSET_ALLOCATION,2026-03-01 10:00:43.269 +0530,18.508385183,12,MONTH
MULTI_ASSET_ALLOCATION,2026-03-01 10:00:43.269 +0530,17.610549206,60,MONTH
MONEY_MARKET,2026-03-01 10:00:43.269 +0530,6.070169235,60,MONTH
MONEY_MARKET,2026-03-01 10:00:43.269 +0530,7.345248287,12,MONTH
MONEY_MARKET,2026-03-01 10:00:43.269 +0530,6.06988975,36,MONTH
MID_CAP,2026-03-01 10:00:43.269 +0530,26.078321384,36,MONTH
MID_CAP,2026-03-01 10:00:43.269 +0530,26.845286206,12,MONTH
MID_CAP,2026-03-01 10:00:43.269 +0530,23.523437592,60,MONTH
MEDIUM_TO_LONG_DURATION,2026-03-01 10:00:43.269 +0530,7.790770958,12,MONTH
MEDIUM_TO_LONG_DURATION,2026-03-01 10:00:43.269 +0530,6.206558774,36,MONTH
MEDIUM_TO_LONG_DURATION,2026-03-01 10:00:43.269 +0530,6.638951134,60,MONTH
MEDIUM_DURATION,2026-03-01 10:00:43.269 +0530,8.210400391,12,MONTH
MEDIUM_DURATION,2026-03-01 10:00:43.269 +0530,6.75180665,60,MONTH
MEDIUM_DURATION,2026-03-01 10:00:43.269 +0530,7.193940291,36,MONTH
LOW_DURATION,2026-03-01 10:00:43.269 +0530,6.288278456,36,MONTH
LOW_DURATION,2026-03-01 10:00:43.269 +0530,6.224807287,60,MONTH
LOW_DURATION,2026-03-01 10:00:43.269 +0530,7.463918757,12,MONTH
LONG_DURATION,2026-03-01 10:00:43.269 +0530,6.027500113,36,MONTH
LONG_DURATION,2026-03-01 10:00:43.269 +0530,8.529408559,12,MONTH
LONG_DURATION,2026-03-01 10:00:43.269 +0530,7.014168552,60,MONTH
LIQUID,2026-03-01 10:00:43.269 +0530,5.368190105,60,MONTH
LIQUID,2026-03-01 10:00:43.269 +0530,5.87297916,36,MONTH
LIQUID,2026-03-01 10:00:43.269 +0530,6.956170322,12,MONTH
LARGE_CAP,2026-03-01 10:00:43.269 +0530,18.90727003,12,MONTH
LARGE_CAP,2026-03-01 10:00:43.269 +0530,18.085041116,36,MONTH
LARGE_CAP,2026-03-01 10:00:43.269 +0530,16.557900999,60,MONTH
LARGE_AND_MID_CAP,2026-03-01 10:00:43.269 +0530,20.18181438,60,MONTH
LARGE_AND_MID_CAP,2026-03-01 10:00:43.269 +0530,23.156257817,12,MONTH
LARGE_AND_MID_CAP,2026-03-01 10:00:43.269 +0530,22.496860811,36,MONTH
INDEX_VALUE,2026-03-01 10:00:43.269 +0530,34.266097141,12,MONTH
INDEX_TOTAL_MARKET,2026-03-01 10:00:43.269 +0530,19.084718602,36,MONTH
INDEX_TOTAL_MARKET,2026-03-01 10:00:43.269 +0530,18.700139122,12,MONTH
INDEX_TOTAL_MARKET,2026-03-01 10:00:43.269 +0530,19.881556601,60,MONTH
INDEX_TECHNOLOGY,2026-03-01 10:00:43.269 +0530,15.085263214,12,MONTH
INDEX_SMALL_CAP,2026-03-01 10:00:43.269 +0530,28.890274097,60,MONTH
INDEX_SMALL_CAP,2026-03-01 10:00:43.269 +0530,27.735417747,12,MONTH
INDEX_SMALL_CAP,2026-03-01 10:00:43.269 +0530,27.788090172,36,MONTH
INDEX_REALTY,2026-03-01 10:00:43.269 +0530,-11.175185939,12,MONTH
INDEX_OTHERS,2026-03-01 10:00:43.269 +0530,23.859572437,12,MONTH
INDEX_OTHERS,2026-03-01 10:00:43.269 +0530,16.948544999,60,MONTH
INDEX_OTHERS,2026-03-01 10:00:43.269 +0530,19.42080869,36,MONTH
INDEX_MULTIFACTOR,2026-03-01 10:00:43.269 +0530,24.545997366,12,MONTH
INDEX_MOMENTUM,2026-03-01 10:00:43.269 +0530,25.239519199,12,MONTH
INDEX_MOMENTUM,2026-03-01 10:00:43.269 +0530,20.805584068,36,MONTH
INDEX_MID_CAP,2026-03-01 10:00:43.269 +0530,28.031909005,60,MONTH
INDEX_MID_CAP,2026-03-01 10:00:43.269 +0530,27.310991457,36,MONTH
INDEX_MID_CAP,2026-03-01 10:00:43.269 +0530,28.0277247,12,MONTH
INDEX_MICROCAP,2026-03-01 10:00:43.269 +0530,20.83517642,12,MONTH
INDEX_MANUFACTURING,2026-03-01 10:00:43.269 +0530,29.098006789,12,MONTH
INDEX_LOW_VOLATILITY,2026-03-01 10:00:43.269 +0530,20.476104609,12,MONTH
INDEX_LARGE_CAP_NEXT_FIFTY,2026-03-01 10:00:43.269 +0530,16.526724401,60,MONTH
INDEX_LARGE_CAP_NEXT_FIFTY,2026-03-01 10:00:43.269 +0530,23.767423111,12,MONTH
INDEX_LARGE_CAP_NEXT_FIFTY,2026-03-01 10:00:43.269 +0530,19.328659701,36,MONTH
INDEX_LARGE_CAP_EQUAL_WEIGHT,2026-03-01 10:00:43.269 +0530,18.647933482,60,MONTH
INDEX_LARGE_CAP_EQUAL_WEIGHT,2026-03-01 10:00:43.269 +0530,21.54584668,36,MONTH
INDEX_LARGE_CAP_EQUAL_WEIGHT,2026-03-01 10:00:43.269 +0530,20.245415074,12,MONTH
INDEX_LARGE_CAP,2026-03-01 10:00:43.269 +0530,15.607574847,60,MONTH
INDEX_LARGE_CAP,2026-03-01 10:00:43.269 +0530,15.231415872,12,MONTH
INDEX_LARGE_CAP,2026-03-01 10:00:43.269 +0530,16.45237028,36,MONTH
INDEX_LARGE_AND_MID_CAP,2026-03-01 10:00:43.269 +0530,22.031153451,12,MONTH
INDEX_LARGE_AND_MID_CAP,2026-03-01 10:00:43.269 +0530,18.592099403,36,MONTH
INDEX_HOUSING,2026-03-01 10:00:43.269 +0530,16.95727483,12,MONTH
INDEX_FUNDS_FIXED_INCOME,2026-03-01 10:00:43.269 +0530,6.975272518,60,MONTH
INDEX_FUNDS_FIXED_INCOME,2026-03-01 10:00:43.269 +0530,6.211860988,36,MONTH
INDEX_FUNDS_FIXED_INCOME,2026-03-01 10:00:43.269 +0530,7.712224968,12,MONTH
INDEX_BANKS,2026-03-01 10:00:43.269 +0530,15.689202319,60,MONTH
INDEX_BANKS,2026-03-01 10:00:43.269 +0530,16.701722748,36,MONTH
INDEX_BANKS,2026-03-01 10:00:43.269 +0530,14.590640187,12,MONTH
INDEX_AUTO,2026-03-01 10:00:43.269 +0530,35.647900895,12,MONTH
GOVERNMENT_BOND,2026-03-01 10:00:43.269 +0530,6.118954801,36,MONTH
GOVERNMENT_BOND,2026-03-01 10:00:43.269 +0530,7.809380245,12,MONTH
GOVERNMENT_BOND,2026-03-01 10:00:43.269 +0530,7.124199379,60,MONTH
GLOBAL_OTHER,2026-03-01 10:00:43.269 +0530,10.129065856,60,MONTH
GLOBAL_OTHER,2026-03-01 10:00:43.269 +0530,10.15989311,36,MONTH
GLOBAL_OTHER,2026-03-01 10:00:43.269 +0530,19.059218516,12,MONTH
FUND_OF_FUNDS,2026-03-01 10:00:43.269 +0530,14.551354676,36,MONTH
FUND_OF_FUNDS,2026-03-01 10:00:43.269 +0530,12.933434512,60,MONTH
FUND_OF_FUNDS,2026-03-01 10:00:43.269 +0530,15.885587594,12,MONTH
FOCUSED_FUND,2026-03-01 10:00:43.269 +0530,18.010061486,60,MONTH
FOCUSED_FUND,2026-03-01 10:00:43.269 +0530,20.468424863,12,MONTH
FOCUSED_FUND,2026-03-01 10:00:43.269 +0530,19.801129205,36,MONTH
FLOATING_RATE,2026-03-01 10:00:43.269 +0530,7.953751086,12,MONTH
FLOATING_RATE,2026-03-01 10:00:43.269 +0530,6.586407373,36,MONTH
FLOATING_RATE,2026-03-01 10:00:43.269 +0530,6.909325249,60,MONTH
FLEXI_CAP,2026-03-01 10:00:43.269 +0530,18.471827323,60,MONTH
FLEXI_CAP,2026-03-01 10:00:43.269 +0530,20.128299189,36,MONTH
FLEXI_CAP,2026-03-01 10:00:43.269 +0530,20.919561613,12,MONTH
EQUITY_SAVINGS,2026-03-01 10:00:43.269 +0530,11.588822047,12,MONTH
EQUITY_SAVINGS,2026-03-01 10:00:43.269 +0530,10.356235957,60,MONTH
EQUITY_SAVINGS,2026-03-01 10:00:43.269 +0530,11.092394774,36,MONTH
ELSS_TAX_SAVINGS,2026-03-01 10:00:43.269 +0530,20.682254909,36,MONTH
ELSS_TAX_SAVINGS,2026-03-01 10:00:43.269 +0530,19.009890479,60,MONTH
ELSS_TAX_SAVINGS,2026-03-01 10:00:43.269 +0530,20.725968695,12,MONTH
DYNAMIC_BOND,2026-03-01 10:00:43.269 +0530,6.918256579,60,MONTH
DYNAMIC_BOND,2026-03-01 10:00:43.269 +0530,6.423316778,36,MONTH
DYNAMIC_BOND,2026-03-01 10:00:43.269 +0530,7.920520649,12,MONTH
DYNAMIC_ASSET_ALLOCATION,2026-03-01 10:00:43.269 +0530,15.141540536,12,MONTH
DYNAMIC_ASSET_ALLOCATION,2026-03-01 10:00:43.269 +0530,12.74034076,60,MONTH
DYNAMIC_ASSET_ALLOCATION,2026-03-01 10:00:43.269 +0530,13.822007648,36,MONTH
DIVIDEND_YIELD,2026-03-01 10:00:43.269 +0530,24.18074375,36,MONTH
DIVIDEND_YIELD,2026-03-01 10:00:43.269 +0530,21.026594101,60,MONTH
DIVIDEND_YIELD,2026-03-01 10:00:43.269 +0530,24.301816245,12,MONTH
CREDIT_RISK,2026-03-01 10:00:43.269 +0530,7.072874655,60,MONTH
CREDIT_RISK,2026-03-01 10:00:43.269 +0530,9.824294221,36,MONTH
CREDIT_RISK,2026-03-01 10:00:43.269 +0530,9.398577316,12,MONTH
CORPORATE_BOND,2026-03-01 10:00:43.269 +0530,6.157576098,36,MONTH
CORPORATE_BOND,2026-03-01 10:00:43.269 +0530,7.632417683,12,MONTH
CORPORATE_BOND,2026-03-01 10:00:43.269 +0530,6.846378794,60,MONTH
CONSERVATIVE_ALLOCATION,2026-03-01 10:00:43.269 +0530,10.443348136,12,MONTH
CONSERVATIVE_ALLOCATION,2026-03-01 10:00:43.269 +0530,9.982610639,36,MONTH
CONSERVATIVE_ALLOCATION,2026-03-01 10:00:43.269 +0530,9.375297358,60,MONTH
COMMODITY_SILVER,2026-03-01 10:00:43.269 +0530,30.117558391,12,MONTH
COMMODITY_SILVER,2026-03-01 10:00:43.269 +0530,29.118939471,36,MONTH
COMMODITY_GOLD_AND_SILVER,2026-03-01 10:00:43.269 +0530,30.325762759,12,MONTH
COMMODITY_GOLD,2026-03-01 10:00:43.269 +0530,14.612615977,60,MONTH
COMMODITY_GOLD,2026-03-01 10:00:43.269 +0530,14.897915271,36,MONTH
COMMODITY_GOLD,2026-03-01 10:00:43.269 +0530,26.065602844,12,MONTH
CHILDREN,2026-03-01 10:00:43.269 +0530,16.533867936,12,MONTH
CHILDREN,2026-03-01 10:00:43.269 +0530,14.333713936,60,MONTH
CHILDREN,2026-03-01 10:00:43.269 +0530,16.091348518,36,MONTH
BANKING_AND_PSU,2026-03-01 10:00:43.269 +0530,6.083878154,36,MONTH
BANKING_AND_PSU,2026-03-01 10:00:43.269 +0530,6.809208256,60,MONTH
BANKING_AND_PSU,2026-03-01 10:00:43.269 +0530,7.482148023,12,MONTH
BALANCED_ALLOCATION,2026-03-01 10:00:43.269 +0530,12.432791284,12,MONTH
